Track Name,Artist Name,Artist Popularity,Album Release Date,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Track Duration (s)
Experience,Ludovico Einaudi,77,2013-01-01,80,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,4,315.0
Pasoori,Shae Gill,61,2022-07-02,80,0.714,0.596,11,-6.206,0,0.043,0.0657,0.0,0.0625,0.669,91.991,4,224.0
Bhalobasha Baki,Popeye Bangladesh,33,2015-01-23,45,0.662,0.225,6,-10.849,1,0.0317,0.711,0.0,0.289,0.377,145.907,4,311.0
I Can't Handle Change,Roar,69,2010-03-14,82,0.247,0.438,5,-8.478,1,0.0358,0.0447,0.000867,0.111,0.39,185.711,3,198.0
Wildest Dreams,Taylor Swift,100,2014-01-01,83,0.553,0.664,8,-7.417,1,0.0741,0.0709,0.0056,0.106,0.467,140.06,4,220.0
Blank Space,Taylor Swift,100,2014-01-01,91,0.76,0.703,5,-5.412,1,0.054,0.103,0.0,0.0913,0.57,95.997,4,232.0
Moho,Aftermath,35,2019-11-04,51,0.548,0.719,11,-5.4,1,0.0312,0.0109,0.000376,0.0866,0.368,105.025,4,265.0
Utshorgo,Aftermath,35,2021-03-14,43,0.485,0.799,1,-8.494,1,0.0401,0.00104,0.000668,0.118,0.413,137.95,4,352.0
Anmone 2,Aurthohin,33,2011-07-10,43,0.313,0.897,3,-5.781,1,0.0844,0.00367,1.16e-06,0.107,0.372,88.734,4,306.0
Neshar Bojha,Syed hassan Samin,15,2018-01-01,0,0.374,0.474,3,-6.603,1,0.039,0.409,0.0,0.0866,0.316,135.121,3,284.0
Hariye Giyechi,Arnob,43,2017-09-14,27,0.591,0.116,7,-21.625,1,0.0363,0.499,1.63e-05,0.0896,0.229,115.875,4,266.0
Apocalypse,Cigarettes After Sex,80,2017-09-06,86,0.37,0.467,5,-9.013,1,0.0273,0.0205,0.572,0.109,0.182,94.485,4,291.0
Sweet,Cigarettes After Sex,80,2017-09-06,78,0.45,0.511,6,-9.073,1,0.0276,0.353,0.766,0.139,0.115,96.563,4,292.0
Nothing's Gonna Hurt You Baby,Cigarettes After Sex,80,2012-07-21,73,0.508,0.33,4,-14.071,1,0.0265,0.259,0.154,0.114,0.101,96.818,4,286.0
Jiyein Kyun,Papon,60,2016-03-16,49,0.551,0.586,2,-6.706,1,0.0447,0.686,0.0,0.477,0.16,143.65,4,343.0
Zara Sa,Pritam,87,2008-07-03,76,0.468,0.91,11,-3.057,0,0.051,0.12,0.000304,0.271,0.694,163.842,4,304.0
Wat Wat Wat,Arijit Singh,89,2015-10-16,51,0.763,0.88,2,-6.977,1,0.186,0.0382,2.3e-05,0.186,0.951,150.041,4,298.0
Yeh Junoon,Mustafa Zahid,60,2013-12-04,44,0.407,0.72,4,-7.32,1,0.0488,0.145,0.000158,0.0806,0.157,116.188,4,292.0
Annie's Song,John Denver,68,1974-06-15,74,0.304,0.305,2,-10.879,1,0.0298,0.871,0.00368,0.367,0.464,146.066,3,181.0
Kahin To,Rashid Ali,57,2008-05-21,63,0.61,0.492,10,-7.55,1,0.0261,0.334,6.3e-06,0.0979,0.165,90.984,4,303.0
Tum Jo Aaye,Rahat Fateh Ali Khan,73,2010-06-29,66,0.574,0.841,4,-4.449,1,0.0948,0.399,1e-06,0.205,0.927,83.706,4,286.0
Phir Se Ud Chala,Mohit Chauhan,74,2011-01-10,69,0.647,0.656,11,-8.632,1,0.0354,0.657,0.000163,0.343,0.453,119.965,4,269.0
Hallelujah,Leonard Cohen,63,1984-11-12,66,0.28,0.344,0,-12.577,1,0.0293,0.715,0.00642,0.133,0.232,171.143,3,277.0
Pehli Nazar Mein,Atif Aslam,76,2008-03-21,70,0.488,0.57,9,-5.602,1,0.0775,0.251,0.0,0.107,0.668,169.702,4,313.0
Shorolotar Protima,Rafsun,26,2021-09-24,41,0.501,0.0872,5,-17.44,1,0.0336,0.947,0.0,0.342,0.482,135.428,4,275.0
Utshorgo,Tasnif Zaman,0,2012-07-11,0,0.577,0.592,5,-5.926,1,0.0321,0.564,0.0,0.383,0.279,123.993,4,286.0
Obosthan,HIGHWAY,36,2016-08-17,51,0.667,0.255,3,-14.011,1,0.036,0.706,1.16e-06,0.0948,0.165,129.922,4,304.0
60's Love,Level Five,34,2018-09-11,50,0.461,0.552,6,-6.527,0,0.0279,0.0204,0.0175,0.184,0.391,136.017,4,323.0
Infinity,Jaymes Young,69,2017-06-23,85,0.671,0.673,11,-6.941,0,0.0444,0.148,5.29e-05,0.304,0.494,121.963,4,238.0
Runaway,AURORA,72,2016-11-03,80,0.422,0.302,11,-9.214,1,0.0372,0.629,7.83e-05,0.104,0.123,114.089,4,249.0
Bose Aachhi (Bose Aachhi Eka),Warfaze,36,2012-04-26,39,0.431,0.88,7,-6.314,1,0.0507,0.000507,0.000613,0.333,0.518,136.924,4,400.0
Shadow,Chromatics,52,2017-05-19,54,0.591,0.539,11,-9.367,0,0.0266,0.012,0.588,0.29,0.551,106.605,4,225.0
Space Song,Beach House,72,2015-08-28,77,0.509,0.79,0,-7.105,0,0.0293,0.218,0.125,0.144,0.625,147.073,4,320.0
After Dark,Mr.Kitty,68,2014-06-10,86,0.585,0.595,8,-10.444,1,0.0328,0.0696,0.266,0.0837,0.039,140.037,4,259.0
Mystery of Love,Sufjan Stevens,70,2017-01-12,74,0.365,0.273,4,-16.526,0,0.038,0.94,0.431,0.109,0.238,132.285,5,249.0
Kun Faya Kun,A.R. Rahman,80,2011-01-10,70,0.362,0.378,1,-11.008,1,0.0329,0.679,0.0,0.091,0.575,87.549,4,470.0
Do Ya Wanna Taste It,Wig Wam,45,2010-01-22,63,0.559,0.793,2,-3.536,0,0.028,0.0191,0.0,0.394,0.69,92.034,4,177.0
Wish You Were Here,Pink Floyd,79,1975-12-09,79,0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.861,4,335.0
Pyro,Kings of Leon,74,2010-10-15,59,0.365,0.606,1,-7.174,0,0.0415,0.00757,0.052,0.103,0.191,114.995,4,251.0
Coming Back to Life,Pink Floyd,79,1994-01-01,61,0.287,0.499,0,-11.094,1,0.0437,0.464,0.000652,0.102,0.142,176.437,4,379.0
Chop Suey!,System Of A Down,79,2001-04-09,87,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,4,210.0
"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Eric Clapton,71,1992-08-25,7,0.695,0.336,9,-12.999,1,0.0313,0.8,0.00264,0.701,0.422,79.109,4,280.0
