Track URI,Track Name,Track Duration (ms),Artist Name,Artist Popularity,Artist Genres,Album Name,Album Release Date,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1BncfTJAWxrsxyT9culBrj,Experience,315426,Ludovico Einaudi,77,"bow pop, compositional ambient, neo-classical",In A Time Lapse,1/1/13,80,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,4
spotify:track:7lvDsmTRXFE3dK4OjvRiWB,Pasoori,224146,Shae Gill,61,,Pasoori,7/2/22,80,0.714,0.596,11,-6.206,0,0.043,0.0657,0,0.0625,0.669,91.991,4
spotify:track:0AEhTnH1nR8zJ2d3iwQyM3,Bhalobasha Baki,311250,Popeye Bangladesh,33,bangladeshi indie,Bhalobasha Baki,23/1/15,45,0.662,0.225,6,-10.849,1,0.0317,0.711,0,0.289,0.377,145.907,4
spotify:track:0I1eFRytp4XRhLCjT6tZm7,I Can't Handle Change,198213,Roar,69,"pov: indie, weirdcore",I Can't Handle Change,14/3/10,82,0.247,0.438,5,-8.478,1,0.0358,0.0447,0.000867,0.111,0.39,185.711,3
spotify:track:3fVnlF4pGqWI9flVENcT28,Wildest Dreams,220440,Taylor Swift,100,pop,1989,1/1/14,83,0.553,0.664,8,-7.417,1,0.0741,0.0709,0.0056,0.106,0.467,140.06,4
spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,231826,Taylor Swift,100,pop,1989 (Deluxe),1/1/14,91,0.76,0.703,5,-5.412,1,0.054,0.103,0,0.0913,0.57,95.997,4
spotify:track:6Y2lrjXwW8YcCU5H4xMFBs,Moho,265142,Aftermath,35,bangladeshi rock,Moho,11/4/19,51,0.548,0.719,11,-5.4,1,0.0312,0.0109,0.000376,0.0866,0.368,105.025,4
spotify:track:7tcHBMra1AZ3QWIHX3hX0r,Utshorgo,352139,Aftermath,35,bangladeshi rock,JED,14/3/21,43,0.485,0.799,1,-8.494,1,0.0401,0.00104,0.000668,0.118,0.413,137.95,4
spotify:track:4bDg8Sj2q5Y8R5uJEZGkXm,Anmone 2,305861,Aurthohin,33,bangladeshi rock,Aushomapto II,7/10/11,43,0.313,0.897,3,-5.781,1,0.0844,0.00367,1.16E-06,0.107,0.372,88.734,4
spotify:track:1RTxTeE7vd0Sb4leBHaETy,Neshar Bojha,283533,Syed hassan Samin,15,bangla pop,Neshar Bojha,1/1/18,0,0.374,0.474,3,-6.603,1,0.039,0.409,0,0.0866,0.316,135.121,3
spotify:track:1dDYCWz8ciB7c6nDqL7Snk,Hariye Giyechi,265978,Arnob,43,classic bangla pop,Chaina Bhabish,14/9/17,27,0.591,0.116,7,-21.625,1,0.0363,0.499,1.63E-05,0.0896,0.229,115.875,4
spotify:track:0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,290616,Cigarettes After Sex,80,"ambient pop, dream pop, el paso indie, shoegaze",Cigarettes After Sex,9/6/17,86,0.37,0.467,5,-9.013,1,0.0273,0.0205,0.572,0.109,0.182,94.485,4
spotify:track:6ilc4vQcwMPlvAHFfsTGng,Sweet,292110,Cigarettes After Sex,80,"ambient pop, dream pop, el paso indie, shoegaze",Cigarettes After Sex,9/6/17,78,0.45,0.511,6,-9.073,1,0.0276,0.353,0.766,0.139,0.115,96.563,4
spotify:track:7cs7MLtAWvsdf3w5kBvfK2,Nothing's Gonna Hurt You Baby,286293,Cigarettes After Sex,80,"ambient pop, dream pop, el paso indie, shoegaze",EP I.,21/7/12,73,0.508,0.33,4,-14.071,1,0.0265,0.259,0.154,0.114,0.101,96.818,4
spotify:track:3tyEQOACloIoX0jbM8YWx2,Jiyein Kyun,343371,Papon,60,"filmi, indian folk, modern bollywood",Bollywood Unplugged,16/3/16,49,0.551,0.586,2,-6.706,1,0.0447,0.686,0,0.477,0.16,143.65,4
spotify:track:18YHbIhrleUkKKj2DvEp79,Zara Sa,303680,Pritam,87,"desi pop, filmi, indian instrumental, modern bollywood",Jannat (Original Motion Picture Soundtrack),7/3/08,76,0.468,0.91,11,-3.057,0,0.051,0.12,0.000304,0.271,0.694,163.842,4
spotify:track:56QlBs4D15jQWukc0hLCDI,Wat Wat Wat,298492,Arijit Singh,89,"desi pop, filmi, modern bollywood",Tamasha,16/10/15,51,0.763,0.88,2,-6.977,1,0.186,0.0382,2.30E-05,0.186,0.951,150.041,4
spotify:track:7D7KjOOyVsPaxo7evQp6ML,Yeh Junoon,291733,Mustafa Zahid,60,"filmi, modern bollywood, pakistani pop",Shootout At Wadala (Original Motion Picture Soundtrack),12/4/13,44,0.407,0.72,4,-7.32,1,0.0488,0.145,0.000158,0.0806,0.157,116.188,4
spotify:track:4J0DbyODwZJcmIAiTSJfMF,Annie's Song,180693,John Denver,68,"classic country pop, folk, folk rock, mellow gold, singer-songwriter, soft rock",Back Home Again,15/6/74,74,0.304,0.305,2,-10.879,1,0.0298,0.871,0.00368,0.367,0.464,146.066,3
spotify:track:3E424W0IJS3ypZ4YOxE0Jn,Kahin To,303206,Rashid Ali,57,"filmi, modern bollywood",Jaane Tu... Ya Jaane Na,21/5/08,63,0.61,0.492,10,-7.55,1,0.0261,0.334,6.30E-06,0.0979,0.165,90.984,4
spotify:track:2iZeKe5avjtKVmjfSFkpxd,Tum Jo Aaye,286443,Rahat Fateh Ali Khan,73,"classic pakistani pop, filmi, modern bollywood, qawwali, sufi",Once Upon A Time In Mumbaai,29/6/10,66,0.574,0.841,4,-4.449,1,0.0948,0.399,1.00E-06,0.205,0.927,83.706,4
spotify:track:1kcV2LJxt5v0s2cEGtEJ5i,Phir Se Ud Chala,268833,Mohit Chauhan,74,"filmi, modern bollywood",Rockstar,1/10/11,69,0.647,0.656,11,-8.632,1,0.0354,0.657,0.000163,0.343,0.453,119.965,4
spotify:track:7yzbimr8WVyAtBX3Eg6UL9,Hallelujah,277160,Leonard Cohen,63,"canadian singer-songwriter, melancholia, permanent wave, singer-songwriter",Various Positions,11/12/84,66,0.28,0.344,0,-12.577,1,0.0293,0.715,0.00642,0.133,0.232,171.143,3
spotify:track:17opN752ZQpNuoptelsNQ1,Pehli Nazar Mein,312892,Atif Aslam,76,"classic pakistani pop, desi pop, filmi, modern bollywood, sufi",Race (Original Motion Picture Soundtrack),21/3/08,70,0.488,0.57,9,-5.602,1,0.0775,0.251,0,0.107,0.668,169.702,4
spotify:track:03wPZRBoewWsokf9xQEuBj,Shorolotar Protima,275277,Rafsun,26,bangla pop,Shorolotar Protima,24/9/21,41,0.501,0.0872,5,-17.44,1,0.0336,0.947,0,0.342,0.482,135.428,4
spotify:track:2COO0bwU92d8hcJLdFCXCJ,Utshorgo,285767,Tasnif Zaman,0,bangla pop,Utshorgo,7/11/12,0,0.577,0.592,5,-5.926,1,0.0321,0.564,0,0.383,0.279,123.993,4
spotify:track:7Ka7NGOzmU1cnAyzma5Ens,Obosthan,304000,HIGHWAY,36,bangladeshi indie,Obosthan,17/8/16,51,0.667,0.255,3,-14.011,1,0.036,0.706,1.16E-06,0.0948,0.165,129.922,4
spotify:track:3h78AziF7cEXfm50J2TNcA,60's Love,323295,Level Five,34,bangladeshi indie,Obosheshey,9/11/18,50,0.461,0.552,6,-6.527,0,0.0279,0.0204,0.0175,0.184,0.391,136.017,4
spotify:track:1SOClUWhOi8vHZYMz3GluK,Infinity,237720,Jaymes Young,69,indie poptimism,Feel Something,23/6/17,85,0.671,0.673,11,-6.941,0,0.0444,0.148,5.29E-05,0.304,0.494,121.963,4
spotify:track:1v1oIWf2Xgh54kIWuKsDf6,Runaway,248826,AURORA,72,"art pop, norwegian pop",All My Demons Greeting Me As A Friend (Deluxe),11/3/16,80,0.422,0.302,11,-9.214,1,0.0372,0.629,7.83E-05,0.104,0.123,114.089,4
